Rk;Apparatus;Name;License_number;Category;Birth_year;Club;D_score;E_score;Penalty;Total_score
1;Horizontal Bar;GARNCZAREK Kacper;32211;senior;2002;KS AZS AWF Katowice;4,6;8,700;0;13,300
2;Horizontal Bar;GAWROÑSKI Sebastian;32203;senior;1996;KS AZS AWF Katowice;4,6;8,000;0;12,600
3;Horizontal Bar;SASNAL Filip;32804;senior;1997;KS AZS AWF Kraków;4,4;8,100;0;12,500
4;Horizontal Bar;WIERZBA Kacper;32450;senior;2003;MKS Gdañsk;3,9;7,950;0;11,850
5;Horizontal Bar;LUKIANIENKO Illia;Z/2000/104;senior;2000;MKS Kusy Szczecin;3,7;7,900;0;11,600
6;Horizontal Bar;KAŒKÓW Pawe³;33059;senior;2000;KS AZS AWFiS Gdañsk;4,3;7,250;0;11,550
7;Horizontal Bar;BOBER Micha³;33750;senior;2002;UKS SP7 £ódŸ;3,0;8,200;0;11,200
8;Horizontal Bar;CHRUŒCIEL Szymon;33132;senior;2004;KS AZS AWF Kraków;2,7;7,950;0;10,650
1;Floor Exercise;KWIATKOWSKI Micha³;30185;junior;2005;MKS Kusy Szczecin;4,2;8,350;0;12,550
2;Floor Exercise;KUZDRA Christian;33663;junior;2006;MKS Gdañsk;3,6;8,650;-0,3;11,950
3;Floor Exercise;SADZA Jakub;326132;junior;2006;NTG Nysa;3,5;8,250;0;11,750
4;Floor Exercise;KO£ODZIEJCZYK Karol;32980;junior;2007;KS AZS AWF Kraków;3,4;8,350;-0,3;11,450
5;Floor Exercise;AZUMI Vincent;Z/07/00342;junior;2007;MKS Gdañsk;3,8;7,550;-0,1;11,250
6;Floor Exercise;¯EME£KA Dawid;Z/06/00087;junior;2006;MKS Gdañsk;3,1;8,350;-0,3;11,150
7;Floor Exercise;MOSKAL B³a¿ej;330111;junior;2006;MKS Gdañsk;3,4;8,050;-0,4;11,050
8;Floor Exercise;£UCKI Mi³osz;32453;junior;2006;KG Radlin;3,2;7,650;-0,3;10,550
1;Pommel Horse;KORBIEL Franciszek;33134;junior;2006;KS AZS AWF Kraków;4,2;8,450;0;12,650
2;Pommel Horse;LEKHAC Tomasz;Z/08/00007;junior;2008;CWZS Zawisza KG Bydgoszcz;3,8;8,300;0;12,100
3;Pommel Horse;KOPERSKI Filip;Z/07/00266;junior;2007;KS AZS AWF Kraków;2,9;8,100;0;11,000
3;Pommel Horse;KUZDRA Christian;33663;junior;2006;MKS Gdañsk;3,9;7,100;0;11,000
5;Pommel Horse;JANKOWSKI Dominik;330115;junior;2007;MKS Gdañsk;2,6;7,500;-0,3;9,800
6;Pommel Horse;KLIMCZUK Micha³;330118;junior;2006;MKS Gdañsk;2,6;7,250;-0,3;9,550
7;Pommel Horse;KUBALA Kacper;330113;junior;2006;MKS Gdañsk;2,2;6,200;-0,3;8,100
1;Still Rings;AZUMI Vincent;Z/07/00342;junior;2007;MKS Gdañsk;3,7;8,350;-0,3;11,750
2;Still Rings;KOPERSKI Filip;Z/07/00266;junior;2007;KS AZS AWF Kraków;3,4;7,750;0;11,150
3;Still Rings;JANKOWSKI Dominik;330115;junior;2007;MKS Gdañsk;2,3;7,700;-0,3;9,700
4;Still Rings;KLIMCZUK Micha³;330118;junior;2006;MKS Gdañsk;1,7;8,150;-0,3;9,550
5;Still Rings;ÆWIEK Tymoteusz;Z/06/00130;junior;2006;KS AZS AWF Kraków;1,9;7,400;-0,3;9,000
6;Still Rings;MOSKAL B³a¿ej;330111;junior;2006;MKS Gdañsk;2,1;7,100;-0,3;8,900
7;Still Rings;£UCKI Mi³osz;32453;junior;2006;KG Radlin;2,1;7,000;-0,3;8,800
1;Pararell Bars;LEKHAC Tomasz;Z/08/00007;junior;2008;CWZS Zawisza KG Bydgoszcz;4,2;8,550;0;12,750
2;Pararell Bars;KWIATKOWSKI Micha³;30185;junior;2005;MKS Kusy Szczecin;3,5;8,400;0;11,900
3;Pararell Bars;KORBIEL Franciszek;33134;junior;2006;KS AZS AWF Kraków;3,1;8,650;0;11,750
4;Pararell Bars;KO£ODZIEJCZYK Karol;32980;junior;2007;KS AZS AWF Kraków;3,0;8,350;0;11,350
5;Pararell Bars;¯EME£KA Dawid;Z/06/00087;junior;2006;MKS Gdañsk;3,1;7,850;0;10,950
6;Pararell Bars;KUBALA Kacper;330113;junior;2006;MKS Gdañsk;2,4;8,400;0;10,800
7;Pararell Bars;ÆWIEK Tymoteusz;Z/06/00130;junior;2006;KS AZS AWF Kraków;2,2;7,700;0;9,900
1;Horizontal Bar;LEKHAC Tomasz;Z/08/00007;junior;2008;CWZS Zawisza KG Bydgoszcz;2,7;8,850;0;11,550
2;Horizontal Bar;AZUMI Vincent;Z/07/00342;junior;2007;MKS Gdañsk;2,7;8,250;0;10,950
3;Horizontal Bar;KO£ODZIEJCZYK Karol;32980;junior;2007;KS AZS AWF Kraków;2,4;8,150;0;10,550
4;Horizontal Bar;KORBIEL Franciszek;33134;junior;2006;KS AZS AWF Kraków;3,1;7,200;0;10,300
5;Horizontal Bar;KUZDRA Christian;33663;junior;2006;MKS Gdañsk;2,7;7,450;0;10,150
6;Horizontal Bar;KLIMCZUK Micha³;330118;junior;2006;MKS Gdañsk;1,8;8,100;0;9,900
7;Horizontal Bar;¯EME£KA Dawid;Z/06/00087;junior;2006;MKS Gdañsk;2,0;7,600;0;9,600
